Date,Real GDP: YoY
03/2010,13.26191669
06/2010,10.29358623
09/2010,9.67949184
12/2010,10.69045854
03/2011,10.32611636
06/2011,8.31899847
09/2011,6.67700651
12/2011,6.17595466
03/2012,5.63254838
06/2012,4.86767953
09/2012,7.49316885
12/2012,5.37639167
03/2013,4.29601041
06/2013,6.44709863
09/2013,7.33774875
12/2013,6.53498261
03/2014,5.34298014
06/2014,8.02396302
09/2014,8.70410917
12/2014,5.92273618
03/2015,7.11207991
06/2015,7.5925447
09/2015,8.03380591
12/2015,7.19743247
03/2016,9.08868263
06/2016,8.67980251
09/2016,9.66980865
12/2016,8.57549361
03/2017,6.28932776
06/2017,6.11275345
09/2017,5.31793956
12/2017,6.66867779
03/2018,8.93290921
06/2018,7.49966063
09/2018,6.45718118
12/2018,6.23347804
03/2019,5.72094278
06/2019,5.09536827
09/2019,4.29837125
12/2019,3.25564307
03/2020,2.94491306
06/2020,-23.13412885
09/2020,-5.83921762
12/2020,1.77508223
03/2021,3.2897928
06/2021,22.63377259
09/2021,9.86585768
12/2021,5.52907498
03/2022,4.45284557
06/2022,13.49075958
09/2022,5.95823753
12/2022,4.8440512
03/2023,6.89695397
06/2023,9.65994425
09/2023,9.3428847
12/2023,9.51455474
03/2024,8.35464058
06/2024,6.51179977
09/2024,5.61202503
12/2024,6.36648556
03/2025,7.38453036
