Date,Real GDP: YoY
2010-03-01,13.26191669
2010-06-01,10.29358623
2010-09-01,9.67949184
2010-12-01,10.69045854
2011-03-01,10.32611636
2011-06-01,8.31899847
2011-09-01,6.67700651
2011-12-01,6.17595466
2012-03-01,5.63254838
2012-06-01,4.86767953
2012-09-01,7.49316885
2012-12-01,5.37639167
2013-03-01,4.29601041
2013-06-01,6.44709863
2013-09-01,7.33774875
2013-12-01,6.53498261
2014-03-01,5.34298014
2014-06-01,8.02396302
2014-09-01,8.70410917
2014-12-01,5.92273618
2015-03-01,7.11207991
2015-06-01,7.5925447
2015-09-01,8.03380591
2015-12-01,7.19743247
2016-03-01,9.08868263
